ingredient_id,tipo,nome,classificacao,formula_quimica,fonte,preco_padrao,MS,NDT,PB,FDN,FDA,AMIDO,CA,P,Mg,Na,K,Cl,S,Fe,Cu,Mn,Zn,Co,I,Se,ativo,qualidade_dados,created_by,created_at,updated_at
ing_excel_002,Alimento,Milho,Energético,,,3,86.9,80,8,9.8,3.6,70.4,0.04,0.31,0,0,0,0,0,0,0,0,0,0,0,0,True,,migracao_excel,,
ing_excel_003,Alimento,Sorgo,Energético,,,2,88.9,77,12.5,6.1,3.9,72.6,0.1,0.38,0,0,0,0,0,0,0,0,0,0,0,0,True,,migracao_excel,,
ing_excel_004,Alimento,Farelo de soja,Proteico,,,3,90,85,45,11.9,7.2,1.9,0.3,0.7,0,0,0,0,0,0,0,0,0,0,0,0,True,,migracao_excel,,
ing_excel_005,Alimento,Farelo de arroz integral,Energético,,,4,80.67,75,14.8,23.1,13.8,22.2,0.78,0.12,0,0,0,0,0,0,0,0,0,0,0,0,True,,migracao_excel,,
ing_excel_006,Alimento,Farelo de arroz desengordurado,Energético,,,,83.61,70,18.5,25.9,12.7,21.5,0.83,2.48,0,0,0,0,0,0,0,0,0,0,0,0,True,,migracao_excel,,
ing_excel_007,Alimento,Casca de arroz,Energético,,,,91,32.75,3.7,75.1,65,7.6,0.24,0.12,0,0,0,0,0,0,0,0,0,0,0,0,True,,migracao_excel,,
ing_excel_008,Alimento,Farelo de trigo,Energético,,,,90.1,72,17.4,40.1,13.8,20.8,0.13,1.05,0,0,0,0,0,0,0,0,0,0,0,0,True,,migracao_excel,,
ing_excel_009,Alimento,Casquinha de soja,Proteico,,,,90.4,48.76,11.9,66.7,47.9,1,0.64,0.13,0,0,0,0,0,0,0,0,0,0,0,0,True,,migracao_excel,,
ing_excel_010,Alimento,Triguilho,Energético,,,,87.4,0,12.9,39.3,21.3,41.3,0.09,0.38,0,0,0,0,0,0,0,0,0,0,0,0,True,NDT igual a zero; revisar se é dado ausente,migracao_excel,,
ing_excel_011,Alimento,Aveia preta,Energético,,,,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,Composição principal possivelmente incompleta,migracao_excel,,
ing_excel_012,Alimento,Ureia,Proteico,,,,99,0,281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,,migracao_excel,,
ing_excel_013,Mineral,Carbonato de cálcio,Cálcico,CaCO,(NRC16F1003),,100,0,0,0,0,0,39.4,0,0,0,0,0,0,0,0,0,0,0,0,0,True,,migracao_excel,,
ing_excel_014,Mineral,Cloreto de cálcio anidro,a,CaCl,(NRC16F1004),,100,0,0,0,0,0,36.1,0,0,0,0,63.9,0,0,0,0,0,0,0,0,True,Classificação parece ser nota de rodapé,migracao_excel,,
ing_excel_015,Mineral,Cloreto de cálcio dihidrato,b,CaCl 2H2O,(NRC16F1005),,100,0,0,0,0,0,27.5,0,0,0,0,48.2,0,0,0,0,0,0,0,0,True,Classificação parece ser nota de rodapé,migracao_excel,,
ing_excel_016,Mineral,Hidróxido de cálcio,Cálcico,Ca(OH),(NRC16F1006),,100,0,0,0,0,0,54.1,0,0,0,0,0,0,0,0,0,0,0,0,0,True,,migracao_excel,,
ing_excel_017,Mineral,Óxido de cálcio,d,CaO,(NRC16F1009),,100,0,0,0,0,0,71.5,0,0,0,0,0,0,0,0,0,0,0,0,0,True,Classificação parece ser nota de rodapé,migracao_excel,,
ing_excel_018,Mineral,Fosfato de cálcio (dibásico),Energético,CaHPO,(NRC16F1007),,100,0,0,0,0,0,22,19.3,0,0,0,0,0,0,0,0,0,0,0,0,True,Nome duplicado na planilha original; Classificação incompatível com tipo mineral,migracao_excel,,
ing_excel_019,Mineral,Fosfato de cálcio (monobásico),f,Ca(H2PO) ,(NRC16F1008),,100,0,0,0,0,0,16.4,21.6,0,0,0,0,0,0,0,0,0,0,0,0,True,Nome duplicado na planilha original; Classificação parece ser nota de rodapé,migracao_excel,,
ing_excel_020,Mineral,Sulfato de cálcio dihidratado,g,CaSO4 2H2O,(NRC16F1010),,100,0,0,0,0,0,23.3,0,0,0,0,0,23.5,0,0,0,0,0,0,0,True,Nome duplicado na planilha original; Classificação parece ser nota de rodapé,migracao_excel,,
ing_excel_021,Mineral,Calcário dolomítico,h,(magnésio),(NRC16F1012),,100,0,0,0,0,0,22.3,0,10,0,0,0,0,0,0,0,0,0,0,0,True,Nome duplicado na planilha original; Classificação parece ser nota de rodapé,migracao_excel,,
ing_excel_022,Mineral,Calcário calcítico,i,,,,100,0,0,0,0,0,38.5,0,0,0,0,0,0,0,0,0,0,0,0,0,True,Classificação parece ser nota de rodapé,migracao_excel,,
ing_excel_023,Mineral,Pedra calcária moída ,j,,(NRC16F1013),,100,0,0,0,0,0,31,0,1,0,0,0,0,0,0,0,0,0,0,0,True,Classificação parece ser nota de rodapé,migracao_excel,,
ing_excel_024,Mineral,Ostra moída ,k,,(NRC16F1014),,100,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,True,Classificação parece ser nota de rodapé,migracao_excel,,
ing_excel_025,Mineral,Fosfato Curaçao ,,,(NRC16F1024),,100,0,0,0,0,0,35.1,14.1,0,0,0,0,0,0,0,0,0,0,0,0,True,,migracao_excel,,
ing_excel_026,Mineral,Fosfato defluorado ,,,(NRC16F1025),,100,0,0,0,0,0,32,18,0,4.9,0,0,0,0,0,0,0,0,0,0,True,Nome duplicado na planilha original,migracao_excel,,
ing_excel_027,Mineral,Cloreto de amônio,,NH₄CI,(NRC16F1069),,100,0,0,0,0,0,0,0,0,0,0,66.3,0,0,0,0,0,0,0,0,True,,migracao_excel,,
ing_excel_028,Mineral,Cloreto de magnésio hexahidratado,,MgCl₂ 6H₂O,(NRC16F1015),,100,0,0,0,0,0,0,0,12,0,0,34.9,0,0,0,0,0,0,0,0,True,Nome duplicado na planilha original,migracao_excel,,
ing_excel_029,Mineral,Cloreto de potássio,,KCI,(NRC16F1016),,100,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,True,Nome duplicado na planilha original,migracao_excel,,
ing_excel_030,Mineral,Cloreto de sódio (sal),,NaCl,(NRC16F1017),,100,0,0,0,0,0,0,0,0,39.3,0,60.7,0,0,0,0,0,0,0,0,True,Nome duplicado na planilha original,migracao_excel,,
ing_excel_031,Mineral,Carbonato de cobalto,,COCO₃,(NRC16F1038),,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,True,,migracao_excel,,
ing_excel_032,Mineral,Carbonato de cobalto hexahidratado,,CoCO₃ 6H₂O,(NRC16F1039),,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.9,0,0,True,,migracao_excel,,
ing_excel_033,Mineral,Cloreto de cobalto hexahidratado,,CoCl₂ 6H₂O,(NRC16F1040),,100,0,0,0,0,0,0,0,0,0,0,29.8,0,0,0,0,0,24.8,0,0,True,,migracao_excel,,
ing_excel_034,Mineral,Sulfato de cobalto heptahidratado,,CoSO₄ 7H₂O,(NRC16F1041),,100,0,0,0,0,0,0,0,0,0,0,0,11.4,0,0,0,0,21,0,0,True,,migracao_excel,,
ing_excel_035,Mineral,Cloreto de cobre dihidratado,,CuCl₂ 2H₂O,(NRC16F1043),,100,0,0,0,0,0,0,0,0,0,0,41.7,0,0,37.2,0,0,0,0,0,True,,migracao_excel,,
ing_excel_036,Mineral,Óxido de cobre,,CuO,(NRC16F1045),,100,0,0,0,0,0,0,0,0,0,0,0,0,0,79.9,0,0,0,0,0,True,,migracao_excel,,
ing_excel_037,Mineral,Sulfato de cobre pentahidratado,,CuSO₄ 5H₂O,(NRC16F1044),,100,0,0,0,0,0,0,0,0,0,0,0,12.8,0,25.5,0,0,0,0,0,True,,migracao_excel,,
ing_excel_038,Mineral,Iodato de cálcio,,Ca(IO₃)₂,(NRC16F1048),,100,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,63.5,0,True,,migracao_excel,,
ing_excel_039,Mineral,Dihidroiodeto de etilenodiamina,,(EDDI),(NRC16F1047),,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.3,0,True,,migracao_excel,,
ing_excel_040,Mineral,Iodeto de potássio,,KI,(NRC16F1031),,100,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,68.8,0,True,,migracao_excel,,
ing_excel_041,Mineral,Carbonato ferroso,,FeCO₃,(NRC16F1051),,100,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,True,,migracao_excel,,
ing_excel_042,Mineral,Sulfato ferroso heptahidratado,,eSO₄ 7H₂O,(NRC16F1049),,100,0,0,0,0,0,0,0,0,0,0,0,12.4,21.8,0,0,0,0,0,0,True,,migracao_excel,,
ing_excel_043,Mineral,Sulfato ferroso monohidrato,,FeSO₄ H₂O,(NRC16F1050),,100,0,0,0,0,0,0,0,0,0,0,0,18.9,32.9,0,0,0,0,0,0,True,,migracao_excel,,
ing_excel_044,Mineral,Óxido de ferro,,FeO,(NRC16F1052),,100,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,True,,migracao_excel,,
ing_excel_045,Mineral,Calcário dolomítico,,(magnésio),(NRC16F1012),,100,0,0,0,0,0,22,0,10,0,0,0,0,0,0,0,0,0,0,0,True,Nome duplicado na planilha original,migracao_excel,,
ing_excel_046,Mineral,Carbonato de magnésio,,MgCO₃,(NRC16F1018),,100,0,0,0,0,0,0,0,30.8,0,0,0,0,0,0,0,0,0,0,0,True,,migracao_excel,,
